SourceID,SourceAgency,SourceDataset,SourceFeatureURL,FeatureType,ReachCode,Measure,ReachSMDate,AddressDate,Catchment,HU,OnNetwork,HydroAddressID,GNIS_NAME,GNIS_ID,SnapTolerance,SnapDistance,InSnapTolerance,QCTolerance,InQCTolerance,QCApproved,NHDPv2ReachCode,NHDPv2Measure,Latitude,Longitude,uri,ObjectId,x,y
OK00452,,,,,1.11302E+13,99.90422,12/29/11 0:00,3/1/22 1:31,0,,1,78db1506-cc38-487b-9d68-85262dde4491,East Cache Creek,,250,0.0501129,1,250,1,1,1.11302E+13,0,34.79438,-98.36832,https://geoconnex.us/iow/gwtc2021-demo/OK00452,11,-98.36832545,34.79438098
OK00450,,,,,1.11302E+13,0,9/5/13 13:08,3/1/22 1:31,0,,1,f4bcd142-5877-4340-9689-4080e478f4f5,Medicine Creek,,250,8.389,1,250,1,1,1.11302E+13,0,34.73631,-98.50339,https://geoconnex.us/iow/gwtc2021-demo/OK00450,12,-98.50339162,34.73636881
TX05996,,,,,1.11302E+13,0,,,,,0,,SOUTH FORK WICHITA RIVER,,0,0,0,0,0,0,1.11302E+13,0,33.79693,-99.8348,https://geoconnex.us/iow/gwtc2021-demo/TX05996,13,-99.83479781,33.79692805
TX01011,,,,,1.11302E+13,99.87183,3/15/12 0:00,3/1/22 1:31,0,,1,30c82808-f609-46eb-a5fe-f09d507ad32d,Wichita River,,250,0.033848,1,250,1,1,1.11302E+13,0,33.81483,-98.93356,https://geoconnex.us/iow/gwtc2021-demo/TX01011,14,-98.93355527,33.81482612
TX01017,,,,,1.11302E+13,1.025402,3/15/12 0:00,3/1/22 1:31,0,,1,081b7c7e-fcbb-44e4-8987-f9aa8eea2fec,,,250,0.258132,1,250,1,1,1.11302E+13,0,33.84411,-98.53752,https://geoconnex.us/iow/gwtc2021-demo/TX01017,15,-98.53752375,33.84410826
OK10317,,,,,1.11302E+13,0,,,,,0,,RED RIVER,,0,0,0,0,0,0,1.11302E+13,0,34.0782,-96.55324,https://geoconnex.us/iow/gwtc2021-demo/OK10317,16,-96.553237,34.078202
OK02503,,,,,1.11303E+13,0,,,,,0,,WASHITA RIVER,,0,0,0,0,0,0,1.11303E+13,0,35.5472,-99.1837,https://geoconnex.us/iow/gwtc2021-demo/OK02503,17,-99.1837,35.5472
OK83678,,,,,1.11303E+13,25.48809,12/29/11 0:00,3/1/22 1:31,0,,1,1c5ba3a6-42d7-42a1-a46c-776cc22e59a1,Washita River,,250,224.23,1,250,1,1,1.11303E+13,0,35.11507,-98.51127,https://geoconnex.us/iow/gwtc2021-demo/OK83678,18,-98.51070319,35.11348916
OK21569,,,,,1.11303E+13,0,,,,,0,,GYP CREEK,,0,0,0,0,0,0,1.11303E+13,0,35.42598,-98.84557,https://geoconnex.us/iow/gwtc2021-demo/OK21569,19,-98.8455634,35.42598314
OK30120,,,,,1.11303E+13,68.54575,12/29/11 0:00,3/1/22 1:31,0,,1,7a8a0d4a-ddb8-43f7-be57-6221d3b48df5,Henry House Creek,,250,125.888,1,250,1,1,1.11303E+13,0,34.3282,-97.23196,https://geoconnex.us/iow/gwtc2021-demo/OK30120,20,-97.23082709,34.32826328
OK21703,,,,,1.11303E+13,98.49941,12/29/11 0:00,3/1/22 1:31,0,,1,84fc6850-db28-4065-86b2-cde1e53cdd08,Keel Sandy Creek,,250,0.0839469,1,250,1,1,1.11303E+13,0,34.74596,-97.0595,https://geoconnex.us/iow/gwtc2021-demo/OK21703,21,-97.05950269,34.74595925
GA02678,,,,,3.13001E+12,38.407,3/14/12 0:00,3/1/22 1:27,0,,1,b06ade5e-b046-4df7-8f93-f3c2c3c0c105,Flint River,,250,150.25,1,250,1,1,3.13001E+12,0,32.31369,-84.02991,https://geoconnex.us/iow/gwtc2021-demo/GA02678,22,-84.03124018,32.31391908
OK21117,,,,,1.11303E+13,0,,,,,0,,LAKE OF THE ARBUCKLES,,0,0,0,0,0,0,1.11303E+13,0,34.46673,-97.04094,https://geoconnex.us/iow/gwtc2021-demo/OK21117,23,-97.04094129,34.46673219
OK00092,,,,,1.11401E+13,99.31188,9/20/13 13:28,3/1/22 1:31,0,,1,58fa9c64-e8f8-45f1-9d66-4c66c0e7b089,,,250,17.403,1,250,1,1,1.11401E+13,0,34.44528,-96.08342,https://geoconnex.us/iow/gwtc2021-demo/OK00092,24,-96.08326483,34.44530755
OK82908,,,,,1.11401E+13,96.95009,9/20/13 13:35,3/1/22 1:30,0,,1,00e688c7-68fd-422d-849d-7c33bb1609a3,McGee Creek,,250,192.57,1,250,1,1,1.11401E+13,0,34.314,-95.8752,https://geoconnex.us/iow/gwtc2021-demo/OK82908,25,-95.87354872,34.31357419
OK21878,,,,,1.11401E+13,4.312803,1/28/13 15:52,3/1/22 1:30,0,,1,25edd9b7-083f-42c9-88d8-b8ef9b46ecea,,,250,61.4758,1,250,1,1,1.11401E+13,0,34.31862,-96.3186,https://geoconnex.us/iow/gwtc2021-demo/OK21878,26,-96.31806646,34.31873419
OK10306,,,,,1.11401E+13,98.67924,3/2/12 0:00,3/1/22 1:31,0,,1,377f4329-c808-46ff-88da-dd10ec51f43a,Little River,,250,152.551,1,250,1,1,1.11401E+13,0,34.11214,-95.0802,https://geoconnex.us/iow/gwtc2021-demo/OK10306,27,-95.07882912,34.11209621
LA00013,,,,,1.11402E+13,100,3/21/12 0:00,3/1/22 1:31,0,,1,6ae4f2e4-5654-49c7-9cac-b542e88dfb17,,,250,87.6122,1,250,1,1,1.11402E+13,0,32.653,-93.654,https://geoconnex.us/iow/gwtc2021-demo/LA00013,28,-93.65434317,32.65240366
LA00605,,,,,1.11402E+13,93.0035,1/27/14 14:18,3/1/22 1:31,0,,1,35dd3055-c906-4593-b8bd-85e58ad73da5,Bodcau Creek,,250,67.3879,1,250,1,1,1.11402E+13,0,32.94667,-93.51167,https://geoconnex.us/iow/gwtc2021-demo/LA00605,29,-93.5122479,32.94652468
LA00179,,,,,1.11402E+13,63.22174,1/27/14 14:15,3/1/22 1:31,0,,1,349a8d3a-9a90-4ff4-b853-2da57895a374,,,250,99.8561,1,250,1,1,1.11402E+13,0.20482,32.70456,-93.51401,https://geoconnex.us/iow/gwtc2021-demo/LA00179,30,-93.51470643,32.70408879
AR00872,,,,,1.11402E+13,87.34114,4/25/13 7:22,3/1/22 1:31,0,,1,1bc21876-be7b-4dda-82c5-16c4004e41f3,Bodcau Creek,,250,37.4286,1,250,1,1,1.11402E+13,0,33.05,-93.52528,https://geoconnex.us/iow/gwtc2021-demo/AR00872,31,-93.52556594,33.04985479
LA00582,,,,,1.11402E+13,0,,,,,0,,RED RIVER,,0,0,0,0,0,0,1.11402E+13,0,31.52281,-92.7261,https://geoconnex.us/iow/gwtc2021-demo/LA00582,32,-92.72610502,31.52281321
LA00018,,,,,1.11402E+13,99.90069,11/18/14 11:09,3/1/22 1:31,0,,1,ba0af79d-ca1a-4b0b-9925-a72366a1f81d,Bayou Rigolette,,250,35.4752,1,250,1,1,1.11402E+13,0,31.552,-92.658,https://geoconnex.us/iow/gwtc2021-demo/LA00018,33,-92.65824823,31.5521703
LA00031,,,,,1.11402E+13,76.48592,3/5/13 13:02,3/1/22 1:31,0,,1,9b048851-cfd2-4703-8475-7d4015e7c65e,Bayou Jean De Jean,,250,10.4153,1,250,1,1,1.11402E+13,0,31.337,-92.73695,https://geoconnex.us/iow/gwtc2021-demo/LA00031,34,-92.73703643,31.33698541
TX08012,,,,,1.11403E+13,0,,,,,0,,SULPHUR RIVER,,0,0,0,0,0,0,1.11403E+13,0,33.33188,-95.6279,https://geoconnex.us/iow/gwtc2021-demo/TX08012,35,-95.62789835,33.33187704
TX00020,,,,,1.11403E+13,0,,,,,0,,CYPRESS CREEK,,0,0,0,0,0,0,1.11403E+13,0,32.74999,-94.50439,https://geoconnex.us/iow/gwtc2021-demo/TX00020,36,-94.50439743,32.7499904
TX04785,,,,,1.11403E+13,46.20284,12/29/11 0:00,3/1/22 1:31,0,,1,43c854c1-02db-41d7-a170-fa0826d26583,Big Cypress Creek,,250,0.0519038,1,250,1,1,1.11403E+13,0,33.08137,-95.00261,https://geoconnex.us/iow/gwtc2021-demo/TX04785,37,-95.00260999,33.08137239
LA00181,,,,,1.11403E+13,20.9874,12/29/11 0:00,3/1/22 1:30,0,,1,c2159f05-5769-45ec-93c4-e303d3865ff3,Big Cypress Bayou,,250,79.3262,1,250,1,1,1.11403E+13,0,32.7089,-93.91673,https://geoconnex.us/iow/gwtc2021-demo/LA00181,38,-93.91741765,32.7090388
CO02679,,,,,1.102E+13,32.32338,12/27/11 0:00,3/1/22 1:30,0,,1,a5c20cbc-af05-4de5-a3cb-0cff975c5755,,,250,129.825,1,250,1,1,1.102E+13,0,38.7,-104.8339,https://geoconnex.us/iow/gwtc2021-demo/CO02679,39,-104.8329586,38.70053801
CO00422,,,,,1.102E+13,27.58175,6/18/15 7:53,3/1/22 1:30,0,,1,5bf15280-7482-459d-873d-afb823a673fb,Little Fountain Creek,,250,35.6374,1,250,1,1,1.102E+13,0,38.68168,-104.8589,https://geoconnex.us/iow/gwtc2021-demo/CO00422,40,-104.8587507,38.68190307
OK10310,,,,,1.10701E+13,0,,,,,0,,VERDIGRIS RIVER,,0,0,0,0,0,0,1.10701E+13,0,36.41486,-95.62893,https://geoconnex.us/iow/gwtc2021-demo/OK10310,41,-95.628931,36.414864
OK30161,,,,,1.10701E+13,11.75369,3/15/12 0:00,3/1/22 1:30,0,,1,4526438b-0029-4f28-b500-985ffbf39fde,Caney River,,250,76.681,1,250,1,1,1.10701E+13,0,36.91391,-96.05666,https://geoconnex.us/iow/gwtc2021-demo/OK30161,42,-96.05657353,36.91446119
OK21489,,,,,1.10701E+13,100,3/15/12 0:00,3/1/22 1:30,0,,1,dc60b7af-ae80-4c53-99e5-61c79414d47b,,,250,90.2239,1,250,1,1,1.10701E+13,0,36.88406,-95.96864,https://geoconnex.us/iow/gwtc2021-demo/OK21489,43,-95.96825529,36.88348448
OK20508,,,,,1.10701E+13,0,,,,,0,,BIRCH CREEK,,0,0,0,0,0,0,1.10701E+13,0,36.53147,-96.16061,https://geoconnex.us/iow/gwtc2021-demo/OK20508,44,-96.1606046,36.53147091
OK11025,,,,,1.10702E+13,0,9/12/13 15:42,3/1/22 1:30,0,,1,a56a2799-25cb-480e-8b59-2de3dc698141,Spavinaw Creek,,250,13.3375,1,250,1,1,1.10702E+13,0,36.38251,-95.04839,https://geoconnex.us/iow/gwtc2021-demo/OK11025,45,-95.0482677,36.38252488
OK10314,,,,,1.10702E+13,0,12/29/11 0:00,3/1/22 1:30,0,,1,54380cf6-2b2f-47b1-aa36-9211bbca4e5d,Neosho River,,250,46.6619,1,250,1,1,1.10702E+13,0,35.86965,-95.23083,https://geoconnex.us/iow/gwtc2021-demo/OK10314,46,-95.2311979,35.86980861
OK10308,,,,,1.10902E+13,0,,,,,0,,CANADIAN RIVER,,0,0,0,0,0,0,1.10902E+13,0,35.3045,-95.36025,https://geoconnex.us/iow/gwtc2021-demo/OK10308,47,-95.36025232,35.30449621
OK12334,,,,,1.11003E+13,0,,,,,0,,TR-COAL CR,,0,0,0,0,0,0,1.11003E+13,0,35.45396,-95.95807,https://geoconnex.us/iow/gwtc2021-demo/OK12334,48,-95.958068,35.453964
OK10311,,,,,1.11101E+13,0,,,,,0,,ILLINOIS RIVER,,0,0,0,0,0,0,1.11101E+13,0,35.594,-95.044,https://geoconnex.us/iow/gwtc2021-demo/OK10311,49,-95.044,35.594
OK02345,,,,,1.11101E+13,40.27819,2/27/12 0:00,3/1/22 1:31,0,,1,f6d3a685-ac67-493e-ab10-c9ed52ca7fb1,Sallisaw Creek,,250,0.000852554,1,250,1,1,1.11101E+13,0,35.46571,-94.86274,https://geoconnex.us/iow/gwtc2021-demo/OK02345,50,-94.86274095,35.46571397
AR01492,,,,,1.11101E+13,100,2/27/12 0:00,3/1/22 1:31,0,,1,d6ec7caf-5304-4805-987b-8e2c824d2092,Lee Creek,,250,121.164,1,250,1,1,1.11101E+13,0,35.48446,-94.39458,https://geoconnex.us/iow/gwtc2021-demo/AR01492,51,-94.39358203,35.48410701
AR00163,,,,,1.11102E+13,87.40329,10/21/14 10:22,3/1/22 1:31,0,,1,f180b2bb-e594-4bed-a62d-209edd5a0fd7,Arkansas River,,250,112.185,1,250,1,1,1.11102E+13,70.11508,35.3506,-94.29714,https://geoconnex.us/iow/gwtc2021-demo/AR00163,52,-94.29779167,35.3499675
AR00164,,,,,1.11102E+13,0.5168856,11/20/12 14:02,3/1/22 1:31,0,,1,c02592d9-ec96-473d-8780-1db7014af67a,Arkansas River,,250,35.8383,1,250,1,1,1.11102E+13,0,35.47196,-93.81413,https://geoconnex.us/iow/gwtc2021-demo/AR00164,53,-93.81442318,35.47185608
AR00081,,,,,1.11102E+13,0,,,,,0,,MAUMELLE CREEK,,0,0,0,0,0,0,1.11102E+13,0,34.85361,-92.48695,https://geoconnex.us/iow/gwtc2021-demo/AR00081,54,-92.48694444,34.85361111
AR00171,,,,,1.11102E+13,98.32645,12/29/11 0:00,3/1/22 1:31,0,,1,1b65de87-33bd-47a3-af27-869da1457b5d,Arkansas River,,250,82.6606,1,250,1,1,1.11102E+13,0,34.79198,-92.35857,https://geoconnex.us/iow/gwtc2021-demo/AR00171,55,-92.35827058,34.79254056
TX04181,,,,,1.11201E+13,0.9524321,12/29/11 0:00,3/1/22 1:31,0,,1,5ec04f3e-30be-4c14-b8a6-b4e2c781f204,,,250,0.075826,1,250,1,1,1.11201E+13,0,34.55923,-101.7104,https://geoconnex.us/iow/gwtc2021-demo/TX04181,56,-101.7104266,34.55923548
OK02500,,,,,1.11203E+13,91.08097,4/30/15 10:53,3/1/22 1:31,0,,1,0071224d-2231-4e18-83fe-7182ce4d993a,,,250,34.7544,1,250,1,1,1.11203E+13,0,34.8897,-99.2812,https://geoconnex.us/iow/gwtc2021-demo/OK02500,57,-99.28092842,34.88982631
TX04358,,,,,1.11302E+13,98.89816,3/15/12 0:00,3/1/22 1:31,0,,1,ae8fe329-8b66-41eb-9d5f-ad9c5cad9f52,Wichita River,,250,0.11161,1,250,1,1,1.11302E+13,0,33.75989,-99.15094,https://geoconnex.us/iow/gwtc2021-demo/TX04358,58,-99.1509406,33.75989067
LA00002,,,,,1.11402E+13,87.4669,6/19/17 10:12,3/1/22 1:31,0,,1,f57c14c2-d08d-4c64-817e-b6abd385597c,,,250,33.0735,1,250,1,1,1.11402E+13,0,32.32861,-93.43278,https://geoconnex.us/iow/gwtc2021-demo/LA00002,59,-93.43307447,32.32859789
OK01389,,,,,1.105E+13,98.57739,12/28/11 0:00,3/1/22 1:31,0,,1,7bb5fd6f-7823-42df-b38d-673aa373a554,Boomer Creek,,250,0.185221,1,250,1,1,1.105E+13,0,36.14363,-97.06659,https://geoconnex.us/iow/gwtc2021-demo/OK01389,60,-97.06659162,36.14362971
OK83011,,,,,1.106E+13,76.94414,12/28/11 0:00,3/1/22 1:31,0,,1,a5d88897-0fe3-4603-b949-1a872134c411,,,250,0.0001603,1,250,1,1,1.106E+13,0,36.73129,-97.0822,https://geoconnex.us/iow/gwtc2021-demo/OK83011,61,-97.08220073,36.73128937
TX06010,,,,,1.10901E+13,40.25625,12/29/11 0:00,3/1/22 1:31,0,,1,189d0e9f-0cf2-4760-ba55-3d03d92dd633,Indian Creek,,250,39.5894,1,250,1,1,1.10901E+13,76.32351,35.29167,-101.755,https://geoconnex.us/iow/gwtc2021-demo/TX06010,62,-101.7550006,35.29195728
TX06009,,,,,1.10901E+13,47.46547,12/29/11 0:00,3/1/22 1:31,0,,1,c3fdb7b6-359c-4803-bcd3-700b2276af1e,Indian Creek,,250,0.0199865,1,250,1,1,1.10901E+13,0,35.30889,-101.7545,https://geoconnex.us/iow/gwtc2021-demo/TX06009,63,-101.754463,35.30888585
LA00388,,,,,1.11402E+13,0.11066,,,,,0,,SAWMILL CREEK,,0,0,0,0,0,0,1.11402E+13,0.11066,32.033,-93.59111,https://geoconnex.us/iow/gwtc2021-demo/LA00388,64,-93.59111111,32.033
TX04357,,,,,1.11403E+13,74.21797,12/29/11 0:00,3/1/22 1:31,0,,1,d8dedd2b-5e6d-4dfa-9e5b-bdd72e1a08f8,Swauano Creek,,250,0.0261714,1,250,1,1,1.11403E+13,0,33.04451,-94.83212,https://geoconnex.us/iow/gwtc2021-demo/TX04357,65,-94.83212123,33.04450998
TX03887,,,,,1.11403E+13,1.018191,12/29/11 0:00,3/1/22 1:31,0,,1,8af3113e-57b9-4969-a27c-4d6c690e3156,Johnson Creek,,250,189.639,1,250,1,1,1.11403E+13,0,32.84,-94.54833,https://geoconnex.us/iow/gwtc2021-demo/TX03887,66,-94.5466367,32.83985925
CO02472,,,,,1.102E+13,66.13338,10/20/15 9:00,3/1/22 1:31,0,,1,1cffb603-4725-4809-b09f-acf946267153,Arkansas River,,250,157.78,1,250,1,1,1.102E+13,0,38.27084,-104.6464,https://geoconnex.us/iow/gwtc2021-demo/CO02472,67,-104.6475381,38.27017809
KS03835,,,,,1.103E+13,0,,,,,0,,WHITEWATER RIVER-TR,,0,0,0,0,0,0,1.103E+13,0,37.66351,-96.9866,https://geoconnex.us/iow/gwtc2021-demo/KS03835,68,-96.98659303,37.66350698
OK10486,,,,,1.106E+13,18.04021,12/28/11 0:00,3/1/22 1:31,0,,1,d48cdaf1-c21c-4c32-a082-7ebbb0ff531a,,,250,0.000169671,1,250,1,1,1.106E+13,0,36.86313,-97.31892,https://geoconnex.us/iow/gwtc2021-demo/OK10486,69,-97.31891743,36.86312707
TX05659,,,,,1.11201E+13,19.48001,3/2/17 15:54,3/1/22 1:31,0,,1,6267858c-583a-4b1a-92e9-7e2b01cc2a0d,North Palo Duro Creek,,250,0.20016,1,250,1,1,1.11201E+13,0,35.17975,-102.2514,https://geoconnex.us/iow/gwtc2021-demo/TX05659,70,-102.2514038,35.17974692
TX04331,,,,,1.11201E+13,45.73269,3/3/17 9:20,3/1/22 1:30,0,,1,a6c57cac-dd0d-4204-afa9-b8c19f7f2a3c,South Cita Creek,,250,1.71606,1,250,1,1,1.11201E+13,0,34.823,-101.7263,https://geoconnex.us/iow/gwtc2021-demo/TX04331,71,-101.7263446,34.82298848
OK21261,,,,,1.11302E+13,2.794845,12/29/11 0:00,3/1/22 1:30,0,,1,f8597713-e89e-41bf-970f-3c9497f63c9b,Deep Red Creek,,250,205.707,1,250,1,1,1.11302E+13,0,34.2696,-98.52388,https://geoconnex.us/iow/gwtc2021-demo/OK21261,72,-98.52538001,34.27048953
TX03255,,,,,1.11302E+13,45.83775,12/29/11 0:00,3/1/22 1:30,0,,1,de8b85ec-76d9-4a34-8ce5-2cebe3771479,Cottonwood Creek,,250,103.854,1,250,1,1,1.11302E+13,0,34.0681,-100.1531,https://geoconnex.us/iow/gwtc2021-demo/TX03255,73,-100.1528809,34.06736028
TX02890,,,,,1.11302E+13,58.87563,12/29/11 0:00,3/1/22 1:30,0,,1,5990883e-a0f1-42f8-9ac1-00bcf4d50560,,,250,123.506,1,250,1,1,1.11302E+13,0,33.83346,-98.19502,https://geoconnex.us/iow/gwtc2021-demo/TX02890,74,-98.19479249,33.83435848
OK20785,,,,,1.11303E+13,22.49998,12/29/11 0:00,3/1/22 1:30,0,,1,fc3d3c24-f7fc-4daa-b574-00ede5cdec31,Chetonia Creek,,250,0.0258004,1,250,1,1,1.11303E+13,0,34.8683,-98.18899,https://geoconnex.us/iow/gwtc2021-demo/OK20785,75,-98.18898923,34.86830002
LA00375,,,,,1.11402E+13,28.13428,12/14/12 0:00,3/1/22 1:30,0,,1,bcea5905-48ce-4c88-9138-98c61dcb20e4,,,250,59.4182,1,250,1,1,1.11402E+13,0,31.717,-93.316,https://geoconnex.us/iow/gwtc2021-demo/LA00375,76,-93.31596301,31.71745296
LA00387,,,,,1.11402E+13,1.53044,11/14/14 11:14,3/1/22 1:30,0,,1,20684aae-02b5-441a-8324-48fc4a1360df,Grand Bayou,,250,10.379,1,250,1,1,1.11402E+13,0,31.999,-93.21333,https://geoconnex.us/iow/gwtc2021-demo/LA00387,77,-93.21335229,31.99892258
TX06550,,,,,1.201E+13,0,,,,,0,,TR-HATLEY CREEK,,0,0,0,0,0,0,1.201E+13,0,32.45853,-94.51991,https://geoconnex.us/iow/gwtc2021-demo/TX06550,78,-94.519907,32.458527
TX04404,,,,,1.201E+13,53.69778,12/30/11 0:00,3/1/22 1:30,0,,1,97ab5454-3b58-416d-85ca-3b94a2c5ae77,Big Sandy Creek,,250,0.0679883,1,250,1,1,1.201E+13,0,32.57188,-95.08406,https://geoconnex.us/iow/gwtc2021-demo/TX04404,79,-95.08406243,32.57188236
TX06342,,,,,1.201E+13,18.09985,12/30/11 0:00,3/1/22 1:30,0,,1,b5e02b4e-a1b8-4849-a94b-9c6d4cbfe2b4,,,250,0.0863242,1,250,1,1,1.201E+13,0,32.72082,-95.22066,https://geoconnex.us/iow/gwtc2021-demo/TX06342,80,-95.22066254,32.72082147
TX00940,,,,,1.201E+13,0.9917578,12/30/11 0:00,3/1/22 1:31,0,,1,603cc255-47d3-462e-892a-41076d88bf0d,Big Sandy Creek,,250,0.110013,1,250,1,1,1.201E+13,0,32.88669,-95.34431,https://geoconnex.us/iow/gwtc2021-demo/TX00940,81,-95.34431299,32.88668795
LA00001,,,,,1.201E+13,6.82457,12/9/14 14:39,3/1/22 1:31,0,,1,9a62b5b3-05b7-400a-8ea8-c982c58eafea,Bayou Anacoco,,250,16.9434,1,250,1,1,1.201E+13,0,31.095,-93.38944,https://geoconnex.us/iow/gwtc2021-demo/LA00001,82,-93.38930042,31.09495783
TX00244,,,,,1.202E+13,99.55196,12/30/11 0:00,3/1/22 1:31,0,,1,fd669d24-e78a-43af-a9c6-d99e393bba4a,Mud Creek,,250,0.0701983,1,250,1,1,1.202E+13,0,32.21224,-95.14288,https://geoconnex.us/iow/gwtc2021-demo/TX00244,83,-95.14287761,32.21224012
TX03549,,,,,1.202E+13,99.67465,12/30/11 0:00,3/1/22 1:31,0,,1,5a76c178-0fff-4829-9881-c21f2a8956f9,Striker Creek,,250,0.007363,1,250,1,1,1.202E+13,0,31.93383,-94.97604,https://geoconnex.us/iow/gwtc2021-demo/TX03549,84,-94.97604207,31.933832
TX00779,,,,,1.20301E+13,71.46605,3/15/12 0:00,3/1/22 1:31,0,,1,b6e79865-3e7f-4081-aaab-bc650bc6d0a8,,,250,0.103973,1,250,1,1,1.20301E+13,0,32.8739,-97.46104,https://geoconnex.us/iow/gwtc2021-demo/TX00779,85,-97.46103685,32.87390032
TX01496,,,,,1.20301E+13,72.67252,3/2/12 0:00,3/1/22 1:31,0,,1,79e3977d-6870-4a28-b193-fd959f875246,,,250,0.29635,1,250,1,1,1.20301E+13,0,33.2227,-97.83143,https://geoconnex.us/iow/gwtc2021-demo/TX01496,86,-97.83142832,33.22269893
TX09598,,,,,1.20301E+13,48.2368,3/15/12 0:00,3/1/22 1:31,0,,1,76fd1010-6e9d-45ca-9e4e-9073c3598a1a,,,250,0.235473,1,250,1,1,1.20301E+13,0,32.83269,-97.25137,https://geoconnex.us/iow/gwtc2021-demo/TX09598,87,-97.25137277,32.83269265
TX07155,,,,,1.20301E+13,17.60892,3/15/12 0:00,3/1/22 1:31,0,,1,c6e4a059-f26d-4d26-a44a-b15c5bf4d904,,,250,0.157411,1,250,1,1,1.20301E+13,0,32.86432,-97.09711,https://geoconnex.us/iow/gwtc2021-demo/TX07155,88,-97.09711436,32.86431532
TX05891,,,,,1.20301E+13,86.09609,12/30/11 0:00,3/1/22 1:30,0,,1,733a8aa4-88cb-4ccf-bebf-c92b349b6114,Elm Fork Trinity River,,250,0.34508,1,250,1,1,1.20301E+13,0,32.86888,-96.92368,https://geoconnex.us/iow/gwtc2021-demo/TX05891,89,-96.9236752,32.86888188
TX00603,,,,,1.20301E+13,27.29325,12/30/11 0:00,3/1/22 1:30,0,,1,ca2167ec-1c95-4db7-9717-794b362859dd,Mustang Creek,,250,37.0703,1,250,1,1,1.20301E+13,0,33.28638,-96.90473,https://geoconnex.us/iow/gwtc2021-demo/TX00603,90,-96.90505003,33.28645981
